,Action,Drama,Supernatural,Suspense,Adventure,Fantasy,Comedy,Romance,Horror,Sci-Fi,Ecchi,Mystery,Sports,Award Winning,Avant Garde,Slice of Life,Gourmet,Boys Love,Girls Love,Hentai,Erotica,Score
203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.871
204,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.371
205,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.231
206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.241
207,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.151
208,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.591
209,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.901
210,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.301
211,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.021
212,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.621
213,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.691
214,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.341
215,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501
216,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.261
217,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.421
218,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.131
219,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.431
220,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.471
221,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.701
222,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.201
223,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.251
224,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8.301
225,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.851
226,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.561
227,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.231
228,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.381
